dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;8192;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;20,95;20,97;20,24;21,13;0,89;104,38
2;16384;0,0000305176;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;20,95;20,97;20,24;21,13;0,89;104,37
2;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;20,95;20,97;20,24;21,06;0,82;104,04
2;0,5;4;25;4;RAE;0;Linear;3;EPSILON_SVR;20,95;20,97;20,24;21,13;0,89;104,38
2;1048576;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;20,95;20,97;20,24;20,61;0,37;101,81
2;1048576;0,0004882812;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;20,95;20,97;20,24;20,62;0,38;101,88
2;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;20,95;20,97;20,24;21,06;0,82;104,04
2;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;20,95;20,97;20,24;20,62;0,38;101,88
2;1048576;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;20,95;20,97;20,24;20,61;0,37;101,81
2;1048576;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;20,95;20,97;20,24;20,62;0,38;101,88
2;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;20,95;20,97;20,24;21,06;0,82;104,04
2;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;20,95;20,97;20,24;20,62;0,38;101,88
2;1048576;0,125;35;4;RAE;2;RBF;3;EPSILON_SVR;20,95;20,97;20,24;20,83;0,59;102,92
2;32768;0,0000305176;35;4;RAE;3;Sigmoid;3;EPSILON_SVR;20,95;20,97;20,24;20,96;0,72;103,57
2;1048576;0,001953125;35;4;RAE;1;Polynomial;3;EPSILON_SVR;20,95;20,97;20,24;21,11;0,87;104,28
2;1;4;35;4;RAE;0;Linear;3;EPSILON_SVR;20,95;20,97;20,24;20,96;0,72;103,57
2;8192;0,0001220703;35;1;RMSE;2;RBF;3;EPSILON_SVR;20,95;20,97;20,24;20,76;0,52;102,58
