dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;1048576;0,0002441406;25;4;RAE;2;RBF;3;EPSILON_SVR;7,45;7,53;7,23;7,07;0,16;97,78
2;4096;0,0000305176;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;7,45;7,53;7,23;7,46;0,23;103,17
2;1048576;0,0078125;25;4;RAE;1;Polynomial;3;EPSILON_SVR;7,45;7,53;7,23;7,31;0,08;101,09
2;0,125;4;25;4;RAE;0;Linear;3;EPSILON_SVR;7,45;7,53;7,23;7,46;0,23;103,17
2;1048576;0,0001220703;25;1;RMSE;2;RBF;3;EPSILON_SVR;7,45;7,53;7,23;7,07;0,16;97,77
2;4096;0,0000305176;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;7,45;7,53;7,23;7,46;0,23;103,17
2;1048576;0,0078125;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;7,45;7,53;7,23;7,31;0,08;101,09
2;0,125;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;7,45;7,53;7,23;7,46;0,23;103,17
2;1048576;0,0000610352;25;5;COMBINED;2;RBF;3;EPSILON_SVR;7,45;7,53;7,23;7,07;0,16;97,75
2;4096;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;7,45;7,53;7,23;7,46;0,23;103,17
2;1048576;0,0078125;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;7,45;7,53;7,23;7,31;0,08;101,09
2;0,125;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;7,45;7,53;7,23;7,46;0,23;103,17
3;2048;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;7,65;7,57;7,53;7,73;0,2;102,7
3;1048576;0,0000610352;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;7,65;7,57;7,53;7,2;0,33;95,58
3;1048576;0,0078125;25;4;RAE;1;Polynomial;3;EPSILON_SVR;7,65;7,57;7,53;7,18;0,35;95,35
3;0,125;4;25;4;RAE;0;Linear;3;EPSILON_SVR;7,65;7,57;7,53;7,73;0,2;102,7
3;2048;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;7,65;7,57;7,53;7,73;0,2;102,7
3;4096;0,0000305176;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;7,65;7,57;7,53;7,73;0,2;102,7
3;1048576;0,0078125;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;7,65;7,57;7,53;7,18;0,35;95,35
3;0,125;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;7,65;7,57;7,53;7,73;0,2;102,7
3;2048;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;7,65;7,57;7,53;7,73;0,2;102,7
3;1048576;0,0000610352;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;7,65;7,57;7,53;7,2;0,33;95,58
3;1048576;0,0078125;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;7,65;7,57;7,53;7,18;0,35;95,35
3;0,125;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;7,65;7,57;7,53;7,73;0,2;102,7
