dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;8192;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;7,52;7,61;7,2;7,79;0,59;108,22
2;1048576;0,0078125;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;7,52;7,61;7,2;7,85;0,65;109,09
2;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;7,52;7,61;7,2;7,76;0,56;107,72
2;0,25;4;25;4;RAE;0;Linear;3;EPSILON_SVR;7,52;7,61;7,2;7,74;0,54;107,48
2;1048576;0,0000610352;25;1;RMSE;2;RBF;3;EPSILON_SVR;7,52;7,61;7,2;7,85;0,65;109,08
2;1048576;0,0078125;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;7,52;7,61;7,2;7,85;0,65;109,09
2;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;7,52;7,61;7,2;7,76;0,56;107,72
2;0,25;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;7,52;7,61;7,2;7,74;0,54;107,48
2;8192;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;7,52;7,61;7,2;7,79;0,59;108,22
2;1048576;0,0078125;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;7,52;7,61;7,2;7,85;0,65;109,09
2;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;7,52;7,61;7,2;7,76;0,56;107,72
2;0,25;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;7,52;7,61;7,2;7,74;0,54;107,48
3;1048576;0,0004882812;25;4;RAE;2;RBF;3;EPSILON_SVR;7,98;7,97;7,61;7,7;0,09;101,15
3;16384;0,0000305176;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;7,98;7,97;7,61;7,74;0,13;101,77
3;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;7,98;7,97;7,61;7,82;0,21;102,81
3;0,03125;4;25;4;RAE;0;Linear;3;EPSILON_SVR;7,98;7,97;7,61;7,81;0,2;102,65
3;1048576;0,0004882812;25;1;RMSE;2;RBF;3;EPSILON_SVR;7,98;7,97;7,61;7,7;0,09;101,15
3;1048576;0,0004882812;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;7,98;7,97;7,61;7,69;0,08;101,1
3;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;7,98;7,97;7,61;7,82;0,21;102,81
3;0,0625;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;7,98;7,97;7,61;7,79;0,18;102,34
3;1048576;0,0004882812;25;5;COMBINED;2;RBF;3;EPSILON_SVR;7,98;7,97;7,61;7,7;0,09;101,15
3;1024;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;7,98;7,97;7,61;7,81;0,2;102,65
3;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;7,98;7,97;7,61;7,82;0,21;102,81
3;0,03125;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;7,98;7,97;7,61;7,81;0,2;102,65
