dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;1024;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;56,3;56,87;58,25;57,3;0,95;98,37
2;128;0,0000305176;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;56,3;56,87;58,25;57,1;1,15;98,02
2;524288;0,00390625;25;4;RAE;1;Polynomial;3;EPSILON_SVR;56,3;56,87;58,25;57,06;1,19;97,96
2;0,25;4;25;4;RAE;0;Linear;3;EPSILON_SVR;56,3;56,87;58,25;56,99;1,26;97,84
2;16384;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;56,3;56,87;58,25;56,85;1,4;97,59
2;262144;0,00390625;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;56,3;56,87;58,25;59,12;0,87;101,5
2;1048576;0,001953125;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;56,3;56,87;58,25;56,97;1,28;97,8
2;1;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;56,3;56,87;58,25;56,85;1,4;97,6
2;1048576;0,0002441406;25;5;COMBINED;2;RBF;3;EPSILON_SVR;56,3;56,87;58,25;57,27;0,98;98,31
2;262144;0,00390625;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;56,3;56,87;58,25;59,12;0,87;101,5
2;1048576;0,001953125;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;56,3;56,87;58,25;56,97;1,28;97,8
2;0,5;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;56,3;56,87;58,25;56,84;1,41;97,58
3;8192;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;55,04;56,65;56,87;56,83;0,04;99,93
3;256;0,03125;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;55,04;56,65;56,87;60,8;3,93;106,91
3;524288;0,00390625;25;4;RAE;1;Polynomial;3;EPSILON_SVR;55,04;56,65;56,87;57,61;0,74;101,3
3;0,5;4;25;4;RAE;0;Linear;3;EPSILON_SVR;55,04;56,65;56,87;56,83;0,04;99,93
3;65536;0,0000610352;25;1;RMSE;2;RBF;3;EPSILON_SVR;55,04;56,65;56,87;56,73;0,14;99,75
3;32768;0,0002441406;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;55,04;56,65;56,87;56,73;0,14;99,75
3;1048576;0,001953125;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;55,04;56,65;56,87;57,48;0,61;101,07
3;1;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;55,04;56,65;56,87;56,78;0,09;99,85
3;65536;0,0000610352;25;5;COMBINED;2;RBF;3;EPSILON_SVR;55,04;56,65;56,87;56,73;0,14;99,75
3;256;0,03125;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;55,04;56,65;56,87;60,8;3,93;106,91
3;1048576;0,001953125;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;55,04;56,65;56,87;57,48;0,61;101,07
3;1;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;55,04;56,65;56,87;56,78;0,09;99,85
