dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;1048576;0,03125;25;4;RAE;2;RBF;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,73
2;4096;0,0000305176;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,71
2;1048576;0,0078125;25;4;RAE;1;Polynomial;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,71
2;0,125;4;25;4;RAE;0;Linear;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,71
2;1048576;0,0625;25;1;RMSE;2;RBF;3;EPSILON_SVR;11,09;11,14;11,16;11,19;0,03;100,26
2;1048576;0,0009765625;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,7
2;524288;0,001953125;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,71
2;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,7
2;1024;0,0000610352;25;5;COMBINED;2;RBF;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,71
2;4096;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,71
2;1048576;0,0078125;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,71
2;0,125;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,71
2;1048576;0,0000610352;35;4;RAE;2;RBF;3;EPSILON_SVR;11,09;11,14;11,16;11,21;0,05;100,48
2;1048576;0,015625;35;4;RAE;3;Sigmoid;3;EPSILON_SVR;11,09;11,14;11,16;-1021,68;1032,84;-9154,83
2;1048576;0,0078125;35;4;RAE;1;Polynomial;3;EPSILON_SVR;11,09;11,14;11,16;11,27;0,11;100,98
2;0,5;4;35;4;RAE;0;Linear;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,76
2;2048;0,0004882812;35;1;RMSE;2;RBF;3;EPSILON_SVR;11,09;11,14;11,16;11,23;0,07;100,63
2;16384;0,0000305176;35;1;RMSE;3;Sigmoid;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,76
2;262144;0,0009765625;35;1;RMSE;1;Polynomial;3;EPSILON_SVR;11,09;11,14;11,16;11,26;0,1;100,86
2;0,5;4;35;1;RMSE;0;Linear;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,76
2;4096;0,0002441406;35;5;COMBINED;2;RBF;3;EPSILON_SVR;11,09;11,14;11,16;11,22;0,06;100,55
2;16384;0,0000305176;35;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,76
2;262144;0,0009765625;35;5;COMBINED;1;Polynomial;3;EPSILON_SVR;11,09;11,14;11,16;11,26;0,1;100,86
2;0,5;4;35;5;COMBINED;0;Linear;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,76
2;8192;0,0001220703;45;4;RAE;2;RBF;3;EPSILON_SVR;11,09;11,14;11,16;11,23;0,07;100,59
2;32768;0,0000610352;45;4;RAE;3;Sigmoid;3;EPSILON_SVR;11,09;11,14;11,16;11,23;0,07;100,59
2;1048576;1024;45;4;RAE;1;Polynomial;3;EPSILON_SVR;11,09;11,14;11,16;11,26;0,1;100,91
2;4;4;45;4;RAE;0;Linear;3;EPSILON_SVR;11,09;11,14;11,16;11,23;0,07;100,64
2;1048576;0,125;45;1;RMSE;2;RBF;3;EPSILON_SVR;11,09;11,14;11,16;11,26;0,1;100,93
2;32768;0,0000610352;45;1;RMSE;3;Sigmoid;3;EPSILON_SVR;11,09;11,14;11,16;11,23;0,07;100,59
2;1048576;1024;45;1;RMSE;1;Polynomial;3;EPSILON_SVR;11,09;11,14;11,16;11,26;0,1;100,91
2;4;4;45;1;RMSE;0;Linear;3;EPSILON_SVR;11,09;11,14;11,16;11,23;0,07;100,64
2;8192;0,0001220703;45;5;COMBINED;2;RBF;3;EPSILON_SVR;11,09;11,14;11,16;11,23;0,07;100,59
2;32768;0,0000610352;45;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;11,09;11,14;11,16;11,23;0,07;100,59
2;1048576;1024;45;5;COMBINED;1;Polynomial;3;EPSILON_SVR;11,09;11,14;11,16;11,26;0,1;100,91
2;4;4;45;5;COMBINED;0;Linear;3;EPSILON_SVR;11,09;11,14;11,16;11,23;0,07;100,64
2;64;0,015625;55;4;RAE;2;RBF;3;EPSILON_SVR;11,09;11,14;11,16;11,25;0,09;100,84
2;65536;0,001953125;55;4;RAE;3;Sigmoid;3;EPSILON_SVR;11,09;11,14;11,16;11,21;0,05;100,41
2;1048576;0,015625;55;4;RAE;1;Polynomial;3;EPSILON_SVR;11,09;11,14;11,16;11,21;0,05;100,42
2;1;4;55;4;RAE;0;Linear;3;EPSILON_SVR;11,09;11,14;11,16;11,25;0,09;100,85
2;128;0,015625;55;1;RMSE;2;RBF;3;EPSILON_SVR;11,09;11,14;11,16;11,24;0,08;100,73
2;32768;0,0000305176;55;1;RMSE;3;Sigmoid;3;EPSILON_SVR;11,09;11,14;11,16;11,25;0,09;100,85
2;1048576;0,015625;55;1;RMSE;1;Polynomial;3;EPSILON_SVR;11,09;11,14;11,16;11,21;0,05;100,42
2;1;4;55;1;RMSE;0;Linear;3;EPSILON_SVR;11,09;11,14;11,16;11,25;0,09;100,85
2;8;0,0625;55;5;COMBINED;2;RBF;3;EPSILON_SVR;11,09;11,14;11,16;11,27;0,11;100,94
2;65536;0,001953125;55;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;11,09;11,14;11,16;11,21;0,05;100,41
2;1048576;0,015625;55;5;COMBINED;1;Polynomial;3;EPSILON_SVR;11,09;11,14;11,16;11,21;0,05;100,42
