dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;1048576;0,0002441406;25;4;RAE;2;RBF;3;EPSILON_SVR;7,6;7,84;7,76;7,7;0,06;99,24
2;1048576;0,0009765625;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;7,6;7,84;7,76;7,7;0,06;99,27
2;1048576;0,0009765625;25;4;RAE;1;Polynomial;3;EPSILON_SVR;7,6;7,84;7,76;7,8;0,04;100,55
2;0,125;4;25;4;RAE;0;Linear;3;EPSILON_SVR;7,6;7,84;7,76;7,77;0,01;100,09
2;8192;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;7,6;7,84;7,76;7,69;0,07;99,1
2;1048576;0,001953125;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;7,6;7,84;7,76;7,7;0,06;99,28
2;1048576;0,0009765625;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;7,6;7,84;7,76;7,8;0,04;100,55
2;0,125;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;7,6;7,84;7,76;7,77;0,01;100,09
2;1048576;0,0002441406;25;5;COMBINED;2;RBF;3;EPSILON_SVR;7,6;7,84;7,76;7,7;0,06;99,24
2;1048576;0,001953125;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;7,6;7,84;7,76;7,7;0,06;99,28
2;1048576;0,0009765625;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;7,6;7,84;7,76;7,8;0,04;100,55
2;0,125;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;7,6;7,84;7,76;7,77;0,01;100,09
3;1024;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;7,92;7,86;7,84;7,86;0,02;100,27
3;2048;0,0000305176;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;7,92;7,86;7,84;7,86;0,02;100,27
3;1048576;0,0009765625;25;4;RAE;1;Polynomial;3;EPSILON_SVR;7,92;7,86;7,84;7,89;0,05;100,58
3;0,0625;4;25;4;RAE;0;Linear;3;EPSILON_SVR;7,92;7,86;7,84;7,86;0,02;100,27
3;4096;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;7,92;7,86;7,84;7,82;0,02;99,75
3;1048576;0,0002441406;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;7,92;7,86;7,84;7,93;0,09;101,14
3;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;7,92;7,86;7,84;7,86;0,02;100,27
3;0,25;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;7,92;7,86;7,84;7,82;0,02;99,74
3;2048;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;7,92;7,86;7,84;7,81;0,03;99,57
3;1048576;0,03125;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;7,92;7,86;7,84;-5254,4;5262,24;-67020,38
3;1048576;0,0009765625;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;7,92;7,86;7,84;7,89;0,05;100,58
3;0,125;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;7,92;7,86;7,84;7,81;0,03;99,57
