dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;1048576;0,0001220703;25;4;RAE;2;RBF;3;EPSILON_SVR;19,4;19,66;19,8;20,22;0,42;102,12
2;1048576;0,0625;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;19,4;19,66;19,8;113040,08;113020,28;570909,51
2;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;19,4;19,66;19,8;19,47;0,33;98,34
2;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;19,4;19,66;19,8;20,22;0,42;102,11
2;1048576;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;19,4;19,66;19,8;20,09;0,29;101,45
2;1048576;0,0009765625;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;19,4;19,66;19,8;20,23;0,43;102,19
2;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;19,4;19,66;19,8;19,47;0,33;98,34
2;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;19,4;19,66;19,8;20,22;0,42;102,11
2;1048576;0,0001220703;25;5;COMBINED;2;RBF;3;EPSILON_SVR;19,4;19,66;19,8;20,22;0,42;102,12
2;1048576;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;19,4;19,66;19,8;20,09;0,29;101,48
2;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;19,4;19,66;19,8;19,47;0,33;98,34
2;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;19,4;19,66;19,8;20,22;0,42;102,11
3;1048576;0,0000610352;25;4;RAE;2;RBF;3;EPSILON_SVR;19,4;19,56;19,66;19,6;0,06;99,7
3;1048576;0,0000610352;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;19,4;19,56;19,66;19,59;0,07;99,63
3;1048576;0,0078125;25;4;RAE;1;Polynomial;3;EPSILON_SVR;19,4;19,56;19,66;19,5;0,16;99,19
3;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;19,4;19,56;19,66;19,62;0,04;99,8
3;1048576;0,0000610352;25;1;RMSE;2;RBF;3;EPSILON_SVR;19,4;19,56;19,66;19,6;0,06;99,7
3;1048576;0,0000610352;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;19,4;19,56;19,66;19,59;0,07;99,63
3;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;19,4;19,56;19,66;19,42;0,24;98,77
3;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;19,4;19,56;19,66;19,62;0,04;99,8
3;1048576;0,0000610352;25;5;COMBINED;2;RBF;3;EPSILON_SVR;19,4;19,56;19,66;19,6;0,06;99,7
3;1048576;0,0000610352;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;19,4;19,56;19,66;19,59;0,07;99,63
3;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;19,4;19,56;19,66;19,42;0,24;98,77
3;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;19,4;19,56;19,66;19,62;0,04;99,8
