dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;1048576;0,0001220703;25;4;RAE;2;RBF;3;EPSILON_SVR;6,93;7,04;6,9;7,07;0,17;102,41
2;1048576;1024;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;6,93;7,04;6,9;7,64;0,74;110,8
2;1048576;0,001953125;25;4;RAE;1;Polynomial;3;EPSILON_SVR;6,93;7,04;6,9;7,07;0,17;102,4
2;0,0009765625;4;25;4;RAE;0;Linear;3;EPSILON_SVR;6,93;7,04;6,9;7,61;0,71;110,35
2;1048576;0,0001220703;25;1;RMSE;2;RBF;3;EPSILON_SVR;6,93;7,04;6,9;7,07;0,17;102,41
2;1024;0,0000305176;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;6,93;7,04;6,9;7,3;0,4;105,81
2;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;6,93;7,04;6,9;6,97;0,07;101,08
2;0,03125;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;6,93;7,04;6,9;7,3;0,4;105,82
2;1048576;0,0001220703;25;5;COMBINED;2;RBF;3;EPSILON_SVR;6,93;7,04;6,9;7,07;0,17;102,41
2;1024;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;6,93;7,04;6,9;7,3;0,4;105,81
2;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;6,93;7,04;6,9;6,97;0,07;101,08
2;0,03125;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;6,93;7,04;6,9;7,3;0,4;105,82
3;1048576;0,0000610352;25;4;RAE;2;RBF;3;EPSILON_SVR;6,79;7,04;7,04;7,37;0,33;104,67
3;1048576;0,0000305176;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;6,79;7,04;7,04;7,37;0,33;104,69
3;1048576;0,00390625;25;4;RAE;1;Polynomial;3;EPSILON_SVR;6,79;7,04;7,04;7,02;0,02;99,77
3;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;6,79;7,04;7,04;7,37;0,33;104,69
3;1048576;0,0000610352;25;1;RMSE;2;RBF;3;EPSILON_SVR;6,79;7,04;7,04;7,37;0,33;104,67
3;512;0,0000305176;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;6,79;7,04;7,04;7,34;0,3;104,32
3;1048576;0,00390625;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;6,79;7,04;7,04;7,02;0,02;99,77
3;0,015625;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;6,79;7,04;7,04;7,34;0,3;104,31
3;1048576;0,0000610352;25;5;COMBINED;2;RBF;3;EPSILON_SVR;6,79;7,04;7,04;7,37;0,33;104,67
3;1024;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;6,79;7,04;7,04;7,31;0,27;103,85
3;1048576;0,00390625;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;6,79;7,04;7,04;7,02;0,02;99,77
3;0,03125;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;6,79;7,04;7,04;7,31;0,27;103,85
