ativo;dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;0,0009765625;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;11,07;11,07;11;0,07;99,32
2;1048576;1024;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;11,07;11,07;11;0,07;99,32
2;1048576;0,0009765625;25;4;RAE;1;Polynomial;3;EPSILON_SVR;11,07;11,07;11,23;0,16;101,45
2;0,0009765625;4;25;4;RAE;0;Linear;3;EPSILON_SVR;11,07;11,07;11,01;0,06;99,42
2;1048576;0,0001220703;25;1;RMSE;2;RBF;3;EPSILON_SVR;11,07;11,07;11,09;0,02;100,18
2;256;0,0000305176;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;11,07;11,07;11,05;0,02;99,81
2;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;11,07;11,07;11,18;0,11;101
2;0,0078125;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;11,07;11,07;11,05;0,02;99,81
2;0,0009765625;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;11,07;11,07;11;0,07;99,32
2;1048576;1024;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;11,07;11,07;11;0,07;99,32
2;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;11,07;11,07;11,18;0,11;101
2;0,0009765625;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;11,07;11,07;11,01;0,06;99,42
3;1048576;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;11,09;11,07;11,09;0,02;100,16
3;1048576;0,0625;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;11,09;11,07;-14958,47;14969,54;-135126,19
3;1048576;0,001953125;25;4;RAE;1;Polynomial;3;EPSILON_SVR;11,09;11,07;11,29;0,22;101,94
3;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;11,09;11,07;11,09;0,02;100,15
3;1048576;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;11,09;11,07;11,09;0,02;100,16
3;1048576;0,0004882812;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;11,09;11,07;11,09;0,02;100,15
3;1048576;0,001953125;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;11,09;11,07;11,29;0,22;101,94
3;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;11,09;11,07;11,09;0,02;100,15
3;1048576;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;11,09;11,07;11,09;0,02;100,16
3;1048576;0,03125;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;11,09;11,07;7030,78;7019,71;63512,01
3;1048576;0,001953125;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;11,09;11,07;11,29;0,22;101,94
3;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;11,09;11,07;11,09;0,02;100,15
