dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;32768;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;21,12;21,37;21,38;21,25;0,13;99,39
2;8192;0,0000305176;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;21,12;21,37;21,38;21,04;0,34;98,39
2;1048576;0,00390625;25;4;RAE;1;Polynomial;3;EPSILON_SVR;21,12;21,37;21,38;21,43;0,05;100,24
2;0,25;4;25;4;RAE;0;Linear;3;EPSILON_SVR;21,12;21,37;21,38;21,04;0,34;98,39
2;1048576;0,0000610352;25;1;RMSE;2;RBF;3;EPSILON_SVR;21,12;21,37;21,38;20,21;1,17;94,53
2;16384;0,0000305176;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;21,12;21,37;21,38;21,01;0,37;98,28
2;1048576;0,001953125;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;21,12;21,37;21,38;21,39;0,01;100,05
2;0,5;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;21,12;21,37;21,38;21,01;0,37;98,28
2;32768;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;21,12;21,37;21,38;21,25;0,13;99,39
2;8192;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;21,12;21,37;21,38;21,04;0,34;98,39
2;1048576;0,00390625;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;21,12;21,37;21,38;21,43;0,05;100,24
2;0,25;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;21,12;21,37;21,38;21,04;0,34;98,39
3;1048576;0,0000610352;25;4;RAE;2;RBF;3;EPSILON_SVR;21,55;21,52;21,37;22,36;0,99;104,66
3;1048576;0,0000610352;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;21,55;21,52;21,37;22,41;1,04;104,85
3;1048576;0,00390625;25;4;RAE;1;Polynomial;3;EPSILON_SVR;21,55;21,52;21,37;22,01;0,64;102,99
3;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;21,55;21,52;21,37;22,41;1,04;104,85
3;1048576;0,03125;25;1;RMSE;2;RBF;3;EPSILON_SVR;21,55;21,52;21,37;22,32;0,95;104,44
3;1048576;0,0002441406;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;21,55;21,52;21,37;22,41;1,04;104,85
3;1048576;0,0078125;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;21,55;21,52;21,37;22,01;0,64;102,99
3;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;21,55;21,52;21,37;22,41;1,04;104,85
3;1048576;0,0000610352;25;5;COMBINED;2;RBF;3;EPSILON_SVR;21,55;21,52;21,37;22,36;0,99;104,66
3;1048576;0,0000610352;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;21,55;21,52;21,37;22,41;1,04;104,85
3;1048576;0,00390625;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;21,55;21,52;21,37;22,01;0,64;102,99
3;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;21,55;21,52;21,37;22,41;1,04;104,85
