ativo;dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
PETR4.SA.arff;3;0,5;4;25;4;RAE;0;Linear;3;EPSILON_SVR;7,85;8,34;8,06;0,28;96,6
PETR4.SA.arff;3;8192;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;7,85;8,34;8,06;0,28;96,61
PETR4.SA.arff;3;16384;0,0000305176;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;7,85;8,34;8,06;0,28;96,61
PETR4.SA.arff;3;262144;0,001953125;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;7,85;8,34;7,91;0,43;94,81
PETR4.SA.arff;3;0,5;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;7,85;8,34;8,06;0,28;96,6
PETR4.SA.arff;3;8192;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;7,85;8,34;8,06;0,28;96,61
PETR4.SA.arff;3;16384;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;7,85;8,34;8,06;0,28;96,61
PETR4.SA.arff;3;262144;0,001953125;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;7,85;8,34;7,91;0,43;94,81
PETR4.SA.arff;3;0,5;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;7,85;8,34;8,06;0,28;96,6
PETR4.SA.arff;3;1024;0,00390625;35;4;RAE;2;RBF;3;EPSILON_SVR;7,85;8,34;8,18;0,16;98,14
PETR4.SA.arff;3;1024;0,0078125;35;4;RAE;3;Sigmoid;3;EPSILON_SVR;7,85;8,34;8,25;0,09;98,93
PETR4.SA.arff;3;1048576;0,001953125;35;4;RAE;1;Polynomial;3;EPSILON_SVR;7,85;8,34;7,79;0,55;93,37
PETR4.SA.arff;3;2;4;35;4;RAE;0;Linear;3;EPSILON_SVR;7,85;8,34;7,95;0,39;95,34
PETR4.SA.arff;3;32768;0,0001220703;35;1;RMSE;2;RBF;3;EPSILON_SVR;7,85;8,34;8,25;0,09;98,92
PETR4.SA.arff;3;1024;0,0078125;35;1;RMSE;3;Sigmoid;3;EPSILON_SVR;7,85;8,34;8,25;0,09;98,93
PETR4.SA.arff;3;262144;0,00390625;35;1;RMSE;1;Polynomial;3;EPSILON_SVR;7,85;8,34;7,69;0,65;92,23
PETR4.SA.arff;3;2;4;35;1;RMSE;0;Linear;3;EPSILON_SVR;7,85;8,34;7,95;0,39;95,34
PETR4.SA.arff;3;8192;0,0004882812;35;5;COMBINED;2;RBF;3;EPSILON_SVR;7,85;8,34;8,24;0,1;98,78
PETR4.SA.arff;3;1024;0,0078125;35;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;7,85;8,34;8,25;0,09;98,93
PETR4.SA.arff;3;262144;0,00390625;35;5;COMBINED;1;Polynomial;3;EPSILON_SVR;7,85;8,34;7,69;0,65;92,23
PETR4.SA.arff;3;2;4;35;5;COMBINED;0;Linear;3;EPSILON_SVR;7,85;8,34;7,95;0,39;95,34
PETR4.SA.arff;3;64;0,015625;45;4;RAE;2;RBF;3;EPSILON_SVR;7,85;8,34;7,93;0,41;95,1
PETR4.SA.arff;3;65536;0,0000305176;45;4;RAE;3;Sigmoid;3;EPSILON_SVR;7,85;8,34;7,93;0,41;95,08
PETR4.SA.arff;3;262144;0,00390625;45;4;RAE;1;Polynomial;3;EPSILON_SVR;7,85;8,34;7,77;0,57;93,16
PETR4.SA.arff;3;8;4;45;4;RAE;0;Linear;3;EPSILON_SVR;7,85;8,34;8,27;0,07;99,14
PETR4.SA.arff;3;128;0,03125;45;1;RMSE;2;RBF;3;EPSILON_SVR;7,85;8,34;8,05;0,29;96,51
PETR4.SA.arff;3;32768;0,0000610352;45;1;RMSE;3;Sigmoid;3;EPSILON_SVR;7,85;8,34;7,93;0,41;95,07
PETR4.SA.arff;3;1048576;0,00390625;45;1;RMSE;1;Polynomial;3;EPSILON_SVR;7,85;8,34;7,86;0,48;94,21
PETR4.SA.arff;3;4;4;45;1;RMSE;0;Linear;3;EPSILON_SVR;7,85;8,34;8,12;0,22;97,41
PETR4.SA.arff;3;64;0,015625;45;5;COMBINED;2;RBF;3;EPSILON_SVR;7,85;8,34;7,93;0,41;95,1
PETR4.SA.arff;3;8192;0,0002441406;45;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;7,85;8,34;7,93;0,41;95,08
PETR4.SA.arff;3;1048576;0,00390625;45;5;COMBINED;1;Polynomial;3;EPSILON_SVR;7,85;8,34;7,86;0,48;94,21
PETR4.SA.arff;3;4;4;45;5;COMBINED;0;Linear;3;EPSILON_SVR;7,85;8,34;8,12;0,22;97,41
PETR4.SA.arff;4;1;0;25;4;RAE;2;RBF;3;EPSILON_SVR;7,96;0,1;9999;9998,9;9999000
PETR4.SA.arff;4;1;0;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;7,96;0,1;9999;9998,9;9999000
PETR4.SA.arff;4;1;0;25;4;RAE;1;Polynomial;3;EPSILON_SVR;7,96;0,1;9999;9998,9;9999000
PETR4.SA.arff;4;1;0;25;4;RAE;0;Linear;3;EPSILON_SVR;7,96;0,1;9999;9998,9;9999000
PETR4.SA.arff;4;1;0;25;1;RMSE;2;RBF;3;EPSILON_SVR;7,96;0,1;9999;9998,9;9999000
PETR4.SA.arff;4;1;0;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;7,96;0,1;9999;9998,9;9999000
PETR4.SA.arff;4;1;0;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;7,96;0,1;9999;9998,9;9999000
PETR4.SA.arff;4;1;0;25;1;RMSE;0;Linear;3;EPSILON_SVR;7,96;0,1;9999;9998,9;9999000
PETR4.SA.arff;4;1;0;25;5;COMBINED;2;RBF;3;EPSILON_SVR;7,96;0,1;9999;9998,9;9999000
PETR4.SA.arff;4;1;0;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;7,96;0,1;9999;9998,9;9999000
PETR4.SA.arff;4;1;0;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;7,96;0,1;9999;9998,9;9999000
